Discipline,HPSA ID,HPSA Name,Designation Type,State,County Name,HPSA Score,Status,Rural Status,Record Type,Site Address,Site City,Site ZIP
Dental Health,6547469234,BOONE MEMORIAL HOSPITAL FAMILY MEDICAL CENTER,Rural Health Clinic,West Virginia,Boone,17,Designated,Rural,Site,697 Madison Ave,Madison,25130-1621
Primary Care,15499954AK,BRADSHAW MEDICAL CLINIC,Rural Health Clinic,West Virginia,McDowell,20,Designated,Rural,Site,9981 Marshall Hwy,Raysal,24879-8069
Mental Health,7549995466,BRADSHAW MEDICAL CLINIC,Rural Health Clinic,West Virginia,McDowell,20,Designated,Rural,Site,9981 Marshall Hwy,Raysal,24879-8069
Dental Health,654999548A,BRADSHAW MEDICAL CLINIC,Rural Health Clinic,West Virginia,McDowell,20,Designated,Rural,Site,9981 Marshall Hwy,Raysal,24879-8069
Primary Care,1549995484,"PENDLETON COMMUNITY CARE, INC",Federally Qualified Health Center,West Virginia,Pendleton,21,Designated,Rural,Site,11480 Blue Gray Trl,Brandywine,26802-8069
Mental Health,7549995430,"PENDLETON COMMUNITY CARE, INC",Federally Qualified Health Center,West Virginia,Pendleton,15,Designated,Rural,Site,11480 Blue Gray Trl,Brandywine,26802-8069
Dental Health,6549995454,"PENDLETON COMMUNITY CARE, INC",Federally Qualified Health Center,West Virginia,Pendleton,20,Designated,Rural,Site,11480 Blue Gray Trl,Brandywine,26802-8069
Primary Care,154999541F,"WILLIAMSON HEALTH &amp; WELLNESS CENTER, INC",Federally Qualified Health Center,West Virginia,Mingo,19,Designated,Rural,Site,244 E 2nd Ave,Williamson,25661-3604
Primary Care,1548894204,OVP HEALTH,Rural Health Clinic,West Virginia,Mingo,19,Designated,Rural,Site,61 E 3rd Ave,Williamson,25661-3530
Mental Health,7541482940,OVP HEALTH,Rural Health Clinic,West Virginia,Mingo,18,Designated,Rural,Site,61 E 3rd Ave,Williamson,25661-3530
Dental Health,6541159764,OVP HEALTH,Rural Health Clinic,West Virginia,Mingo,19,Designated,Rural,Site,61 E 3rd Ave,Williamson,25661-3530
Primary Care,1544153336,SISTERSVILLE GENERAL MEDICAL CENTER,Rural Health Clinic,West Virginia,Tyler,17,Designated,Rural,Site,100 Fair St,Middlebourne,26149-9525
Mental Health,7543058317,SISTERSVILLE GENERAL MEDICAL CENTER,Rural Health Clinic,West Virginia,Tyler,16,Designated,Rural,Site,100 Fair St,Middlebourne,26149-9525
Dental Health,6549526781,SISTERSVILLE GENERAL MEDICAL CENTER,Rural Health Clinic,West Virginia,Tyler,15,Designated,Rural,Site,100 Fair St,Middlebourne,26149-9525
Primary Care,1547539034,WALTON MEDICAL CLINIC,Rural Health Clinic,West Virginia,Roane,19,Designated,Rural,Site,94 School Dr,Walton,25286-9774
Mental Health,7543131651,WALTON MEDICAL CLINIC,Rural Health Clinic,West Virginia,Roane,17,Designated,Rural,Site,94 School Dr,Walton,25286-9774
Dental Health,6543088196,WALTON MEDICAL CLINIC,Rural Health Clinic,West Virginia,Roane,15,Designated,Rural,Site,94 School Dr,Walton,25286-9774
Primary Care,1549995476,WELCH COMMUNITY HOSPITAL RHC,Rural Health Clinic,West Virginia,McDowell,21,Designated,Rural,Site,454 McDowell St,Welch,24801-2029
Mental Health,7549995423,WELCH COMMUNITY HOSPITAL RHC,Rural Health Clinic,West Virginia,McDowell,20,Designated,Rural,Site,454 McDowell St,Welch,24801-2029
Dental Health,6549995447,WELCH COMMUNITY HOSPITAL RHC,Rural Health Clinic,West Virginia,McDowell,20,Designated,Rural,Site,454 McDowell St,Welch,24801-2029
Primary Care,1545565151,HAMPSHIRE MEMORIAL HOSPITAL MULTISPECIALTY CLINIC,Rural Health Clinic,West Virginia,Hampshire,17,Designated,Rural,Site,329 Sunrise Blvd,Romney,26757-4607
Mental Health,7549545675,HAMPSHIRE MEMORIAL HOSPITAL MULTISPECIALTY CLINIC,Rural Health Clinic,West Virginia,Hampshire,16,Designated,Rural,Site,329 Sunrise Blvd,Romney,26757-4607
Dental Health,6544786385,HAMPSHIRE MEMORIAL HOSPITAL MULTISPECIALTY CLINIC,Rural Health Clinic,West Virginia,Hampshire,15,Designated,Rural,Site,329 Sunrise Blvd,Romney,26757-4607
Primary Care,1549995471,ST GEORGE MEDICAL CLINIC INC.,Federally Qualified Health Center,West Virginia,Tucker,14,Designated,Rural,Site,6362 Appalachian Hwy,Davis,26260-8271
Dental Health,6545357327,"WIRT COUNTY HEALTH SERVICE ASSOCIATION, INC",Federally Qualified Health Center,West Virginia,Wirt,23,Designated,Rural,Site,73 Nicolette Rd,Parkersburg,26104-7236
Dental Health,6549995444,Rainelle Medical Center,Federally Qualified Health Center,West Virginia,Greenbrier,26,Designated,Rural,Site,300 Chase St,Alderson,24910-9461
