ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
MEMORIAL ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,†,169,168,177,176,178,220,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,118,118,135,109,124,135
MERCER COUNTY TECHNICAL EDUCATION CENTER,West Virginia,5401400,Mercer County Technical Education Center,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,–,–,0,–,–,0,0,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0
MERCER ELEMENTARY,West Virginia,5400695,Mercer Elementary,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,258,258,288,317,330,329,350,343,325,339,347,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,193,197,197,234,141,159,149
MID OHIO VALLEY TECHNICAL INSTITUTE,West Virginia,5401411,Mid Ohio Valley Technical Institute,Pleasants County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,3,†,†,–,–,0,–,–,0,0,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0
MIDDLE CREEK ELEMENTARY SCHOOL,West Virginia,5400862,Middle Creek Elementary School,Ohio County,23-Suburb: Small,23-Suburb: Small,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,225,229,233,246,255,283,300,334,322,335,337,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,135,135,158,103,122,95
MIDLAND ELEMENTARY SCHOOL,West Virginia,5401002,Midland Elementary School,Randolph County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,41-Rural: Fringe,41-Rural: Fringe,164,168,185,209,234,242,243,264,271,276,279,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,111,108,108,157,98,107,99
MIDLAND TRAIL ELEMENTARY SCHOOL,West Virginia,5400421,Midland Trail Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,158,164,154,153,168,188,224,230,226,233,239,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,100,133,133,145,100,118,117
MIDLAND TRAIL HIGH,West Virginia,5400191,Midland Trail High,Fayette County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,618,631,623,623,610,609,586,332,331,338,329,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,273,278,278,208,92,115,100
MIDWAY ELEMENTARY SCHOOL,West Virginia,5400498,Midway Elementary School,Lincoln County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,237,255,256,253,245,286,307,304,322,330,319,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,121,170,170,194,149,189,148
MILL CREEK INTERMEDIATE SCHOOL,West Virginia,5401029,Mill Creek Intermediate School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,553,508,504,533,507,535,575,503,467,514,508,–,–,–,–,–,–,–,–,182,214,164,–,–,–,–,–,–,–,–,33,33,55,–,–,–,–,255,340,340,291,215,247,219
MILTON ELEMENTARY SCHOOL,West Virginia,5400125,Milton Elementary School,Cabell County,41-Rural: Fringe,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,509,559,539,530,517,599,627,678,671,655,700,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,241,307,307,388,272,294,282
MILTON MIDDLE SCHOOL,West Virginia,5400683,Milton Middle School,Cabell County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,555,570,570,591,605,604,610,615,644,658,657,–,–,–,–,–,–,–,–,–,247,231,–,–,–,–,–,–,–,–,–,34,54,–,–,–,–,229,221,221,266,162,281,285
MINERAL COUNTY ALTERNATIVE PROGRAM,West Virginia,5400712,Mineral County Alternative Program,Mineral County,33-Town: Remote,33-Town: Remote,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,4,8,6,5,8,22,8,12,11,12,6,–,–,–,–,‡,–,‡,–,8,8,–,–,–,–,–,‡,–,‡,–,0,0,–,–,–,–,–,‡,5,‡,4,8,8,1
MINERAL COUNTY TECHNICAL CENTER,West Virginia,5400720,Mineral County Technical Center,Mineral County,33-Town: Remote,33-Town: Remote,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,–,–,0,–,–,0,0,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0
MINERAL WELLS ELEMENTARY SCHOOL,West Virginia,5401165,Mineral Wells Elementary School,Wood County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,465,485,505,500,467,479,535,551,572,592,596,–,–,–,–,–,–,–,–,–,265,268,–,–,–,–,–,–,–,–,–,34,22,–,–,–,–,247,244,244,268,215,299,290
MINGO CENTRAL COMPREHENSIVE HIGH SCHOOL,West Virginia,5401485,Mingo Central Comprehensive High School,Mingo County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,624,618,635,695,698,710,702,747,734,699,728,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,396,399,399,451,343,368,325
MINGO COUNTY EXTENDED LEARNING CENTER,West Virginia,5401488,Mingo County Extended Learning Center,Mingo County,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,–,–,†,–,–,†,–,–,0,0,0,†,†,†,–,2,2,2,–,–,†,0,†,†,†,–,1,1,1,–,–,†,0,†,†,†,–,3,3,3,–,–,†,0
MONONGAH ELEMENTARY SCHOOL,West Virginia,5400570,Monongah Elementary School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,266,247,269,267,300,312,338,367,332,344,344,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,161,191,191,233,197,184,173
MONONGAH MIDDLE SCHOOL,West Virginia,5401283,Monongah Middle School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,190,212,206,218,229,221,219,221,235,211,194,–,–,–,–,–,–,–,–,134,125,98,–,–,–,–,–,–,–,–,17,12,10,–,–,–,–,125,127,127,142,151,137,108
MONONGALIA TECHNICAL EDUCATION CENTER,West Virginia,5400804,Monongalia Technical Education Center,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,†,†,†,–,–,0,–,–,0,0,0,†,†,†,–,2,2,2,–,–,†,0,†,†,†,–,1,1,1,–,–,†,0,†,†,†,–,3,3,3,‡,–,†,0
MONROE COUNTY VOCATIONAL CENTER,West Virginia,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,†,†,–,–,0,–,–,0,0,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0
MONTCALM ELEMENTARY SCHOOL,West Virginia,5400696,Montcalm Elementary School,Mercer County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,42-Rural: Distant,256,262,279,296,283,302,303,321,316,317,307,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,194,230,230,250,198,214,185
MONTCALM HIGH SCHOOL,West Virginia,5400697,Montcalm High School,Mercer County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,269,282,282,288,294,286,318,291,310,315,315,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,181,205,205,207,142,143,115
MONTROSE ELEMENTARY SCHOOL,West Virginia,5400423,Montrose Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,224,232,236,215,234,254,256,267,273,285,283,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,105,105,83,82,89,66
MOOREFIELD ELEMENTARY SCHOOL,West Virginia,5400277,Moorefield Elementary School,Hardy County,43-Rural: Remote,43-Rural: Remote,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,431,433,407,395,418,421,482,505,485,487,519,–,–,–,–,–,–,–,–,–,–,316,–,–,–,–,–,–,–,–,–,–,40,–,–,–,–,241,291,291,345,225,247,356
MOOREFIELD HIGH SCHOOL,West Virginia,5400278,Moorefield High School,Hardy County,43-Rural: Remote,43-Rural: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,480,492,499,497,451,447,440,409,404,406,402,–,–,–,–,–,–,–,–,137,182,155,–,–,–,–,–,–,–,–,40,46,54,–,–,–,–,206,166,166,180,177,228,209
MOOREFIELD INTERMEDIATE SCHOOL,West Virginia,5401253,Moorefield Intermediate School,Hardy County,43-Rural: Remote,43-Rural: Remote,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,308,299,302,295,311,338,360,401,391,371,340,–,–,–,–,–,–,–,–,–,–,197,–,–,–,–,–,–,–,–,–,–,36,–,–,–,–,153,196,196,275,191,179,233
MOOREFIELD MIDDLE SCHOOL,West Virginia,5400886,Moorefield Middle School,Hardy County,43-Rural: Remote,43-Rural: Remote,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,311,311,334,322,387,376,376,335,349,354,340,–,–,–,–,–,–,–,–,–,188,166,–,–,–,–,–,–,–,–,–,45,39,–,–,–,–,190,167,167,205,125,233,205
MORGANTOWN HIGH SCHOOL,West Virginia,5400786,Morgantown High School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,1754,1824,1859,1858,1847,1851,1845,1811,1792,1808,1763,–,–,–,–,–,–,–,–,420,460,388,–,–,–,–,–,–,–,–,86,56,82,–,–,–,–,562,637,636,603,506,516,470
MOUNDSVILLE MIDDLE SCHOOL,West Virginia,5400598,Moundsville Middle School,Marshall County,31-Town: Fringe,31-Town: Fringe,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,452,402,409,424,451,436,435,442,438,464,476,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,246,225,225,279,180,210,190
MOUNT HOPE ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,†,†,0,328,350,311,304,291,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,–,–,–,–,–,–,†,†,†,†,†,244,244,279,194,217,191
MOUNT VERNON ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,49,57,55,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,–,–,–,†,†,†,†,†,†,†,†,28,36,23
MOUNT VIEW HIGH SCHOOL,West Virginia,5401246,Mount View High School,McDowell County,43-Rural: Remote,43-Rural: Remote,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,521,553,560,590,621,652,664,712,733,750,805,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,387,440,440,561,404,443,445
MOUNTAIN RIDGE INTERMEDIATE,West Virginia,5401229,Mountain Ridge Intermediate,Berkeley County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,575,571,582,587,576,586,600,601,593,564,581,–,–,–,–,–,–,–,–,270,280,271,–,–,–,–,–,–,–,–,43,43,47,–,–,–,–,266,317,317,367,313,323,318
MOUNTAIN RIDGE MIDDLE SCHOOL,West Virginia,5401497,Mountain Ridge Middle School,Berkeley County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,619,634,619,635,657,620,603,614,614,643,607,–,–,–,–,–,–,–,–,235,255,230,–,–,–,–,–,–,–,–,35,48,59,–,–,–,–,311,319,319,319,270,303,289
MOUNTAIN VALLEY ELEMENTARY SCHOOL,West Virginia,5400681,Mountain Valley Elementary School,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,273,283,304,296,303,202,150,143,138,151,143,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,223,116,116,128,82,101,95
MOUNTAIN VIEW ELEMENTARY & MIDDLE SCHOOL,West Virginia,5401044,Mountain View Elementary & Middle School,Monroe County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,456,479,482,500,496,546,562,561,541,540,531,–,–,–,–,–,–,–,–,260,299,266,–,–,–,–,–,–,–,–,75,52,64,–,–,–,–,259,289,289,350,335,351,330
MOUNTAIN VIEW ELEMENTARY SCHOOL,West Virginia,5401470,Mountain View Elementary School,Putnam County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,457,453,478,461,448,464,439,429,420,434,462,–,–,–,–,–,–,–,–,170,184,179,–,–,–,–,–,–,–,–,15,19,21,–,–,–,–,179,200,200,203,185,203,200
MOUNTAINEER MIDDLE SCHOOL,West Virginia,5400655,Mountaineer Middle School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,23-Suburb: Small,640,600,619,639,657,653,645,633,580,536,518,–,–,–,–,–,–,–,–,108,103,78,–,–,–,–,–,–,–,–,32,17,17,–,–,–,–,152,177,177,177,140,120,95
MOUNTAINEER MIDDLE SCHOOL,West Virginia,5401231,Mountaineer Middle School,Harrison County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,351,358,361,412,388,415,412,406,446,477,472,–,–,–,–,–,–,–,–,–,–,244,–,–,–,–,–,–,–,–,–,–,45,–,–,–,–,194,210,210,249,164,212,289
MOUNTAINVIEW ELEMENTARY SCHOOL,West Virginia,5400078,Mountainview Elementary School,Monongalia County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,645,659,703,683,669,749,726,755,744,724,751,–,–,–,–,–,–,–,–,298,283,292,–,–,–,–,–,–,–,–,42,30,29,–,–,–,–,308,357,357,366,340,313,321
MT. LOOKOUT ELEMENTARY SCHOOL,West Virginia,5400838,Mt. Lookout Elementary School,Nicholas County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,121,118,122,132,115,130,144,146,140,140,158,–,–,–,–,–,–,–,–,–,98,87,–,–,–,–,–,–,–,–,–,9,12,–,–,–,–,64,79,79,109,63,107,99
MT. NEBO ELEMENTARY SCHOOL,West Virginia,5400839,Mt. Nebo Elementary School,Nicholas County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,105,103,110,96,102,87,103,112,98,118,117,–,–,–,–,–,–,–,–,–,67,54,–,–,–,–,–,–,–,–,–,12,14,–,–,–,–,45,49,49,71,37,79,68
MT. OLIVE CORRECTIONAL COMPLEX - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MULLENS ELEMENTARY & MIDDLE SCHOOL,WEST VIRGINIA,5401633,Mullens Elementary & Middle School,Wyoming County,42-Rural: Distant,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
MULLENS ELEMENTARY SCHOOL,West Virginia,5401209,Mullens Elementary School,Wyoming County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,162,176,177,203,218,236,231,235,222,250,252,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115,139,139,146,125,155,127
MULLENS MIDDLE SCHOOL,West Virginia,5401211,Mullens Middle School,Wyoming County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,144,133,135,145,150,175,176,164,169,166,159,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,85,93,93,86,69,79,66
MUSSELMAN HIGH SCHOOL,West Virginia,5400027,Musselman High School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,1725,1780,1754,1713,1686,1654,1609,1593,1564,1525,1524,–,–,–,–,–,–,–,–,610,536,493,–,–,–,–,–,–,–,–,121,104,144,–,–,–,–,648,717,717,717,731,640,637
MUSSELMAN MIDDLE SCHOOL,West Virginia,5401375,Musselman Middle School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,651,628,673,694,705,708,697,663,641,621,643,–,–,–,–,–,–,–,–,234,225,248,–,–,–,–,–,–,–,–,38,56,57,–,–,–,–,347,373,373,317,272,281,305
MYLAN PARK ELEMENTARY SCHOOL,West Virginia,5401224,Mylan Park Elementary School,Monongalia County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,457,425,452,474,425,456,473,495,497,518,527,–,–,–,–,–,–,–,–,250,253,239,–,–,–,–,–,–,–,–,26,23,32,–,–,–,–,191,291,291,308,276,276,271
NEALE ELEMENTARY SCHOOL,West Virginia,5401168,Neale Elementary School,Wood County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,357,368,382,375,377,387,395,382,391,381,384,–,–,–,–,–,–,–,–,–,230,225,–,–,–,–,–,–,–,–,–,25,33,–,–,–,–,187,218,218,257,194,255,258
NELLIS ELEMENTARY,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,42-Rural: Distant,42-Rural: Distant,†,†,†,†,†,†,†,†,†,99,98,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,55,51
