ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
ASHFORD-RUMBLE ELEMENTARY,West Virginia,5400035,Ashford-rumble Elementary,Boone County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,140,123,127,121,124,142,152,170,198,110,102,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80,99,99,108,114,47,40
ASHTON ELEMENTARY SCHOOL,West Virginia,5401505,Ashton Elementary School,Mason County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,270,305,334,348,346,370,396,411,393,390,385,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,182,204,204,256,186,207,164
ATHENS ELEMENTARY SCHOOL,West Virginia,5400672,Athens Elementary School,Mercer County,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,233,231,242,241,239,262,276,290,290,293,274,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107,130,130,169,105,106,80
AUGUSTA ELEMENTARY SCHOOL,West Virginia,†,†,†,†,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,†,303,305,277,255,284,280,287,290,288,299,†,–,–,–,–,–,–,–,155,158,155,†,–,–,–,–,–,–,–,27,21,39,†,–,–,–,123,186,186,193,182,179,194
AURORA SCHOOL,West Virginia,5401358,Aurora School,Preston County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,142,167,168,178,155,167,173,172,164,151,140,–,–,–,–,–,–,–,–,–,62,62,–,–,–,–,–,–,–,–,–,14,10,–,–,–,–,56,71,71,91,41,76,72
B-U MIDDLE SCHOOL,West Virginia,5401077,B-U Middle School,Upshur County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,718,742,803,836,817,849,877,850,813,850,873,–,–,–,–,–,–,–,–,–,431,411,–,–,–,–,–,–,–,–,–,57,64,–,–,–,–,418,431,431,495,321,488,475
BACK CREEK VALLEY ELEMENTARY SCHOOL,West Virginia,5400012,Back Creek Valley Elementary School,Berkeley County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,149,165,170,158,150,163,170,155,134,147,146,–,–,–,–,–,–,–,–,57,60,71,–,–,–,–,–,–,–,–,9,11,12,–,–,–,–,64,99,99,81,66,71,83
BAILEYSVILLE ELEMENTARY & MIDDLE SCHOOL,West Virginia,5401191,Baileysville Elementary & Middle School,Wyoming County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,267,276,309,342,326,337,333,337,332,311,331,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,189,182,182,242,175,178,167
BARBOURSVILLE MIDDLE SCHOOL,West Virginia,5400091,Barboursville Middle School,Cabell County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,697,681,679,711,743,764,803,796,784,784,770,–,–,–,–,–,–,–,–,–,299,251,–,–,–,–,–,–,–,–,–,60,74,–,–,–,–,268,295,295,371,210,359,325
BARBOURSVILLE SCHOOL,West Virginia,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,†,18,16,0,†,–,18,18,18,†,†,†,–,–,–,–,–,15,15,15,†,†,†,–,–,–,–,–,0,0,0,†,†,†,–,4,4,4,–,15,15,15
