ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2022-23,School ID (7-digit) – NCES Assigned [Public School] 2021-22,School ID (7-digit) – NCES Assigned [Public School] 2020-21,School ID (7-digit) – NCES Assigned [Public School] 2019-20,School ID (7-digit) – NCES Assigned [Public School] 2018-19,School ID (7-digit) – NCES Assigned [Public School] 2017-18,School ID (7-digit) – NCES Assigned [Public School] 2016-17,School ID (7-digit) – NCES Assigned [Public School] 2015-16,School ID (7-digit) – NCES Assigned [Public School] 2014-15,School Name [Public School] 2024-25,Agency Name [Public School] 2024-25,County Name [Public School] 2024-25,Start of Year Status [Public School] 2024-25,Start of Year Status [Public School] 2023-24,Start of Year Status [Public School] 2022-23,Start of Year Status [Public School] 2021-22,Start of Year Status [Public School] 2020-21,Start of Year Status [Public School] 2019-20,Start of Year Status [Public School] 2018-19,Start of Year Status [Public School] 2017-18,Start of Year Status [Public School] 2016-17,Start of Year Status [Public School] 2015-16,Start of Year Status [Public School] 2014-15,Updated Status [Public School] 2024-25,Updated Status [Public School] 2023-24,Updated Status [Public School] 2022-23,Updated Status [Public School] 2021-22,Updated Status [Public School] 2020-21,Updated Status [Public School] 2019-20,Updated Status [Public School] 2018-19,Updated Status [Public School] 2017-18,Updated Status [Public School] 2016-17,Updated Status [Public School] 2015-16,Updated Status [Public School] 2014-15,Effective Date of Updated Status [Public School] 2024-25,Effective Date of Updated Status [Public School] 2023-24,Effective Date of Updated Status [Public School] 2022-23,Effective Date of Updated Status [Public School] 2021-22,Effective Date of Updated Status [Public School] 2020-21,Effective Date of Updated Status [Public School] 2019-20,Effective Date of Updated Status [Public School] 2018-19,Effective Date of Updated Status [Public School] 2017-18,Effective Date of Updated Status [Public School] 2016-17,Effective Date of Updated Status [Public School] 2015-16,Effective Date of Updated Status [Public School] 2014-15,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15
JOHN MARSHALL ADULT PREP,WEST VIRGINIA,†,†,†,†,5401536,5401536,5401536,5401536,5401536,5401536,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,7-Future,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,7-Future,†,†,†,†,†,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,02/01/2017         ,10/27/16           ,†,†,†,†,†,39.941629,39.941629,39.941629,39.941629,39.941629,†,†,†,†,†,†,-80.753455,-80.753455,-80.753455,-80.753455,-80.753455,†,†
JOHN MARSHALL HIGH SCHOOL,West Virginia,5400594,5400594,5400594,5400594,5400594,5400594,5400594,5400594,5400594,5400594,5400594,John Marshall High School,Marshall County Schools,Marshall County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:24 ,39.941629,39.941629,39.941629,39.941629,39.941629,39.941629,39.941629,39.941629,39.941629,39.942118,39.942118,-80.753455,-80.753455,-80.753455,-80.753455,-80.753455,-80.753455,-80.753455,-80.753455,-80.753455,-80.753798,-80.753798
JOHNSON ELEMENTARY SCHOOL,West Virginia,5400296,5400296,5400296,5400296,5400296,5400296,5400296,5400296,5400296,5400296,5400296,Johnson Elementary School,Harrison County Schools,Harrison County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:32 ,39.290869,39.290869,39.290869,39.290869,39.290869,39.290869,39.290869,39.290869,39.290869,39.290648,39.290648,-80.263536,-80.263536,-80.263536,-80.263536,-80.263536,-80.263536,-80.263536,-80.263536,-80.263536,-80.263807,-80.263807
JUMPING BRANCH ELEMENTARY SCHOOL,West Virginia,5401042,5401042,5401042,5401042,5401042,5401042,5401042,5401042,5401042,5401042,5401042,Jumping Branch Elementary School,Summers County Schools,Summers County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:34 ,37.653430,37.653430,37.653430,37.653430,37.653430,37.653430,37.653430,37.653430,37.653489,37.653489,37.653489,-80.971031,-80.971031,-80.971031,-80.971031,-80.971031,-80.971031,-80.971031,-80.971031,-80.971012,-80.971012,-80.971012
JUNIOR ELEMENTARY,West Virginia,5400004,5400004,5400004,5400004,5400004,5400004,5400004,5400004,5400004,5400004,5400004,Junior Elementary,Barbour County Schools,Barbour County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:54 ,38.977675,38.977675,38.977675,38.977675,38.977675,38.977675,38.977675,38.977675,38.981389,38.980066,38.980066,-79.956732,-79.956732,-79.956732,-79.956732,-79.956732,-79.956732,-79.956732,-79.956732,-79.945261,-79.947552,-79.947552
JUSTICE ELEMENTARY SCHOOL,West Virginia,5400517,5400517,5400517,5400517,5400517,5400517,5400517,5400517,5400517,5400517,5400517,Justice Elementary School,Logan County Schools,Logan County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:01 ,37.893862,37.893862,37.893862,37.893862,37.893862,37.893862,37.893862,37.893862,37.893862,37.894808,37.894808,-81.991875,-81.991875,-81.991875,-81.991875,-81.991875,-81.991875,-81.991875,-81.991875,-81.991875,-81.992892,-81.992892
KANAWHA CITY ELEMENTARY SCHOOL,West Virginia,5400409,5400409,5400409,5400409,5400409,5400409,5400409,5400409,5400409,5400409,5400409,Kanawha City Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:22 ,38.329691,38.329691,38.329691,38.329691,38.329691,38.329691,38.329691,38.329691,38.329691,38.329527,38.329527,-81.595587,-81.595587,-81.595587,-81.595587,-81.595587,-81.595587,-81.595587,-81.595587,-81.595587,-81.596044,-81.596044
KANAWHA ELEMENTARY SCHOOL,West Virginia,5401158,5401158,5401158,5401158,5401158,5401158,5401158,5401158,5401158,5401158,5401158,Kanawha Elementary School,Wood County Schools,Wood County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:18:12 ,39.199635,39.199635,39.199635,39.199635,39.199635,39.199635,39.199635,39.199635,39.199635,39.199635,39.199635,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589,-81.459589
KASSON ELEMENTARYMIDDLE SCHOOL,West Virginia,5400005,5400005,5400005,5400005,5400005,5400005,5400005,5400005,5400005,5400005,5400005,Kasson ElementaryMiddle School,Barbour County Schools,Barbour County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:11:52 ,39.228572,39.228572,39.228572,39.228572,39.228572,39.228572,39.228572,39.228572,39.228641,39.228641,39.228641,-79.878367,-79.878367,-79.878367,-79.878367,-79.878367,-79.878367,-79.878367,-79.878367,-79.878018,-79.878018,-79.878018
KCS ALTERNATIVE LEARNING,West Virginia,5400898,5400898,5400898,5400898,5400898,5400898,5400898,5400898,5400898,5400898,5400898,KCS Alternative Learning,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:49 ,38.380080,38.380080,38.380080,38.380080,38.380080,38.380080,38.380080,38.380080,38.339568,38.339680,38.339680,-81.662210,-81.662210,-81.662210,-81.662210,-81.662210,-81.662210,-81.662210,-81.662210,-81.616957,-81.616928,-81.616928
KELLOGG ELEMENTARY SCHOOL,West Virginia,5401105,5401105,5401105,5401105,5401105,5401105,5401105,5401105,5401105,5401105,5401105,Kellogg Elementary School,Wayne County Schools,Wayne County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:52 ,38.397244,38.397244,38.397244,38.397244,38.397244,38.397244,38.397244,38.397244,38.397244,38.397229,38.397229,-82.517813,-82.517813,-82.517813,-82.517813,-82.517813,-82.517813,-82.517813,-82.517813,-82.517813,-82.517727,-82.517727
KENNA ELEMENTARY SCHOOL,West Virginia,5400333,5400333,5400333,5400333,5400333,5400333,5400333,5400333,5400333,5400333,5400333,Kenna Elementary School,Jackson County Schools,Jackson County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:00 ,38.663261,38.663261,38.663261,38.663261,38.663261,38.663261,38.663261,38.663261,38.663440,38.663440,38.669590,-81.647562,-81.647562,-81.647562,-81.647562,-81.647562,-81.647562,-81.647562,-81.647562,-81.648071,-81.648071,-81.663368
KENNA ELEMENTARY SCHOOL,West Virginia,5400410,5400410,5400410,5400410,5400410,5400410,5400410,5400410,5400410,5400410,5400410,Kenna Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:23 ,38.338576,38.338576,38.338576,38.338576,38.338576,38.338576,38.338576,38.338576,38.338576,38.338584,38.338584,-81.683199,-81.683199,-81.683199,-81.683199,-81.683199,-81.683199,-81.683199,-81.683199,-81.683199,-81.683304,-81.683304
KENNETH HONEY RUBENSTEIN CENTER,West Virginia,†,†,†,†,5400136,5400136,5400136,5400136,5400136,5400136,5400136,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,†,†,†,†,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:13:48 ,†,†,†,†,39.149203,39.149203,39.149203,39.149203,39.149296,39.149296,39.149296,†,†,†,†,-79.442478,-79.442478,-79.442478,-79.442478,-79.442091,-79.442091,-79.442091
KENOVA ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,5401106,5401106,5401106,†,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,†,04/10/2017         ,08/08/16           ,19FEB2015:10:17:52 ,†,†,†,†,†,†,†,†,38.398941,38.399500,38.400499,†,†,†,†,†,†,†,†,-82.567962,-82.569098,-82.578255
KERMIT PRE K8,West Virginia,5400906,5400906,5400906,5400906,5400906,5400906,5400906,5400906,5400906,5400906,5400906,Kermit Pre K8,Mingo County Schools,Mingo County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:55 ,37.809542,37.809542,37.809542,37.809542,37.809542,37.809542,37.809542,37.809542,37.809542,37.809542,37.809582,-82.398877,-82.398877,-82.398877,-82.398877,-82.398877,-82.398877,-82.398877,-82.398877,-82.398877,-82.398877,-82.398999
KEYSER HIGH SCHOOL,West Virginia,5400718,5400718,5400718,5400718,5400718,5400718,5400718,5400718,5400718,5400718,5400718,Keyser High School,Mineral County Schools,Mineral County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:51 ,39.399411,39.399411,39.399411,39.399411,39.399411,39.399411,39.399411,39.399411,39.439225,39.439225,39.439225,-79.020442,-79.020442,-79.020442,-79.020442,-79.020442,-79.020442,-79.020442,-79.020442,-78.975531,-78.975531,-78.975531
KEYSER MIDDLE SCHOOL,West Virginia,5401402,5401402,5401402,5401402,5401402,5401402,5401402,5401402,5401402,5401402,5401402,Keyser Middle School,Mineral County Schools,Mineral County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:45 ,39.426833,39.426833,39.426833,39.426833,39.426833,39.426833,39.426833,39.426833,39.426833,39.426722,39.426722,-78.989112,-78.989112,-78.989112,-78.989112,-78.989112,-78.989112,-78.989112,-78.989112,-78.989112,-78.989290,-78.989290
KEYSER PRIMARY SCHOOL,West Virginia,5401498,5401498,5401498,5401498,5401498,5401498,5401498,5401498,5401498,5401498,5401498,Keyser Primary School,Mineral County Schools,Mineral County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:49 ,39.429170,39.429170,39.429170,39.429170,39.429170,39.429170,39.429170,39.429170,39.429170,39.426996,39.426996,-78.988560,-78.988560,-78.988560,-78.988560,-78.988560,-78.988560,-78.988560,-78.988560,-78.988560,-78.989104,-78.989104
KIMBALL ELEMENTARY SCHOOL,West Virginia,5400654,5400654,5400654,5400654,5400654,5400654,5400654,5400654,5400654,5400654,5400654,Kimball Elementary School,McDowell County Schools,McDowell County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:18 ,37.420396,37.420396,37.420396,37.420396,37.420396,37.420396,37.420396,37.420396,37.420396,37.425161,37.425161,-81.497483,-81.497483,-81.497483,-81.497483,-81.497483,-81.497483,-81.497483,-81.497483,-81.497483,-81.503729,-81.503729
KINGWOOD ELEMENTARY,West Virginia,5400907,5400907,5400907,5400907,5400907,5400907,5400907,5400907,5400907,5400907,5400907,Kingwood Elementary,Preston County Schools,Preston County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:46 ,39.468667,39.468667,39.468667,39.468667,39.468667,39.468667,39.468667,39.468667,39.465058,39.464999,39.464999,-79.686481,-79.686481,-79.686481,-79.686481,-79.686481,-79.686481,-79.686481,-79.686481,-79.688016,-79.688331,-79.688331
LAKESIDE ELEMENTARY SCHOOL,West Virginia,5401302,5401302,5401302,5401302,5401302,5401302,5401302,5401302,5401302,5401302,5401302,Lakeside Elementary School,Putnam County Schools,Putnam County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:16:54 ,38.412668,38.412668,38.412668,38.412668,38.412668,38.412668,38.412668,38.412668,38.412510,38.412510,38.414163,-82.006741,-82.006741,-82.006741,-82.006741,-82.006741,-82.006741,-82.006741,-82.006741,-82.006871,-82.006871,-82.017417
LAKEWOOD ELEMENTARY SCHOOL,West Virginia,5400412,5400412,5400412,5400412,5400412,5400412,5400412,5400412,5400412,5400412,5400412,Lakewood Elementary School,Kanawha County Schools,Kanawha County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:14:23 ,38.368699,38.368699,38.368699,38.368699,38.368699,38.368699,38.368699,38.368699,38.368699,38.368662,38.368662,-81.837286,-81.837286,-81.837286,-81.837286,-81.837286,-81.837286,-81.837286,-81.837286,-81.837286,-81.836411,-81.836411
LAKIN CORRECTIONAL CENTER - ADULT,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,5401537,†,†,†,†,†,†,†,†,†,†,†,†,†,7-Future,†,†,†,†,†,†,†,†,†,†,7-Future,†,†,†,†,†,†,†,†,†,†,10/27/16           ,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
LASHMEET/MATOAKA ELEMENTARY SCHOOL,West Virginia,5400689,5400689,5400689,5400689,5400689,5400689,5400689,5400689,5400689,5400689,5400689,Lashmeet/Matoaka Elementary School,Mercer County Schools,Mercer County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:34 ,37.426763,37.426763,37.426763,37.426763,37.426763,37.426763,37.426763,37.426763,37.416055,37.426574,37.426574,-81.222389,-81.222389,-81.222389,-81.222389,-81.222389,-81.222389,-81.222389,-81.222389,-81.249506,-81.226845,-81.226845
LAURETTA B MILLSOP PRIMARY SCHOOL,West Virginia,†,†,†,†,†,†,†,5400085,5400085,5400085,5400085,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:12:31 ,†,†,†,†,†,†,†,40.394986,40.394986,40.393863,40.393863,†,†,†,†,†,†,†,-80.611790,-80.611790,-80.610716,-80.610716
LAVALETTE ELEMENTARY SCHOOL,West Virginia,5401107,5401107,5401107,5401107,5401107,5401107,5401107,5401107,5401107,5401107,5401107,Lavalette Elementary School,Wayne County Schools,Wayne County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:53 ,38.321879,38.321879,38.321879,38.321879,38.321879,38.321879,38.321879,38.321879,38.322300,38.322300,38.322165,-82.444375,-82.444375,-82.444375,-82.444375,-82.444375,-82.444375,-82.444375,-82.444375,-82.444801,-82.444801,-82.443890
LEADING CREEK ELEMENTARY,WEST VIRGINIA,5401518,5401518,5401518,5401518,5401518,5401518,5401518,5401518,5401518,5401518,†,Leading Creek Elementary,Lewis County Schools,Lewis County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,†,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,3-New,†,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,†,39.011135,39.011135,39.011135,39.011135,39.011135,39.011135,39.011135,39.011135,39.011135,39.011135,†,-80.716966,-80.716966,-80.716966,-80.716966,-80.716966,-80.716966,-80.716966,-80.716966,-80.716966,-80.716966,†
LENORE PK8 SCHOOL,West Virginia,5401063,5401063,5401063,5401063,5401063,5401063,5401063,5401063,5401063,5401063,5401063,Lenore Pk8 School,Mingo County Schools,Mingo County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:52 ,37.797854,37.797854,37.797854,37.797854,37.797854,37.797854,37.797854,37.797854,37.785345,37.785345,37.800182,-82.289744,-82.289744,-82.289744,-82.289744,-82.289744,-82.289744,-82.289744,-82.289744,-82.259696,-82.259696,-82.284138
LEON ELEMENTARY SCHOOL,West Virginia,5400616,5400616,5400616,5400616,5400616,5400616,5400616,5400616,5400616,5400616,5400616,Leon Elementary School,Mason County Schools,Mason County,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,1-Open,07/30/2025         ,07/31/2024         ,08/30/2023         ,04/06/2022         ,05/31/2021         ,07/09/2020         ,07/18/2019         ,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:15:26 ,38.744667,38.744667,38.744667,38.744667,38.744667,38.744667,38.744667,38.744667,38.744667,38.744297,38.744297,-81.954523,-81.954523,-81.954523,-81.954523,-81.954523,-81.954523,-81.954523,-81.954523,-81.954523,-81.954343,-81.954343
LESTER ELEMENTARY,West Virginia,†,†,†,†,†,†,†,5400960,5400960,5400960,5400960,†,†,†,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,1-Open,1-Open,1-Open,1-Open,†,†,†,†,†,†,†,07/05/2018         ,04/10/2017         ,08/08/16           ,19FEB2015:10:17:07 ,†,†,†,†,†,†,†,37.729512,37.729512,37.729512,37.729512,†,†,†,†,†,†,†,-81.306330,-81.306330,-81.306330,-81.306330
